Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=12abe7e77fe54636,Data Scientist,Success Korea 서울 역삼동,"Package 경험 ( Python or R) : GBM, Logistic... 그래밍 언어 : SQL and Relational Database(필수), Python or R (둘 중 하나 필수) - Data 관련 프로세스 경험..."
https://kr.indeed.com/viewjob?jk=2936adf2a7318db5,웹개발자,Success Korea 서울 잠실역,"이스, 카산드라등) 경험자 우대 - TDD 및 스크립트 언어(Ruby, Python, Javascript) 경험자 우대 [전형절차] 실무면접(테크면... 및 스크립트 언어(Ruby, Python, Javascript) 경험자..."
https://kr.indeed.com/viewjob?jk=de02498698b3c239,Back-end Developer 백엔드 개발자 (JAVA),Peer 서울 강남구,"경험 사용자 인증 메커니즘에 대한 이해 및 암호화 관련 개발 경험 Python, Go, Scala, C, Java 언어 실무 경험이나 다양한 언어... 기반), Node.js, Python 사용 DB : Mysql/Maria..."
https://kr.indeed.com/viewjob?jk=e9952107e4857eaf,Machine Learning Engineer (8년이상),Success Korea 서울,"8년 이상 (딥러닝 관련 업무수행 3년이상 필수) 필수사항 : - Python 중급 이상 - PyTorch, Tensorflow 중 1개 이상 사용... 3년이상 필수) 필수사항 : - Python 중급 이상 - PyTorch..."
https://kr.indeed.com/viewjob?jk=9e3160233e816836,메신저앱 Family OS Client 개발,Success Korea 성남 분당구,FFmpeg 소스 구조를 이해하고 능숙하게 이용할 줄 아시는 분 - Python 스크립트를 능숙하게 다룰 줄 아시는 분 [전형절차] 서류전형- 실무... 능숙하게 이용할 줄 아시는 분 - Python 스크립트를 능숙하게 다룰 줄...
https://kr.indeed.com/viewjob?jk=f797a2d19667b1e6,"Senior Manager, Customer Insights (광고사업...",Coupang 2.9 서울,"커머스, 성과 마케팅 분야 경험 7년 이상 가지신 분 내외부 이해관계자와의 협상 경험이 있으신 분 SQL, Python, R 등의 데이터 마이닝 도구에 능숙하신 분 다수의 리테일 비즈니스 모델 이해 능력을 가지신 분 복잡하고..."
https://kr.indeed.com/viewjob?jk=913dea5d207616b9,게임플랫폼 Client 개발,Success Korea 경기도 성남,"scala (이외 C++, Go, Python 등)를 이용한 서버 개발... 사용) 자격요건 - Java / scala (이외 C++, Go, Python 등)를 이용한 서버 개발 경력 3년 이상 - 오픈소스 기술을 바탕..."
https://kr.indeed.com/viewjob?jk=dd44bd54e55b2ef8,SW 개발,Success Korea 서울 신논현역,"및 구현 - 빅데이타 플랫폼/ 데이타관리 [자격요건] - JAVA, Python 등 OOP(Object Oriented Programming) 언어... 국문이력서 자격요건 - JAVA, Python 등 OOP(Object..."
https://kr.indeed.com/viewjob?jk=12bca81588e3f9aa,응용프로그래머[팀장급],Success Korea 서울 성수동,"Windows Server, MS-SQL 개발 경험 [우대사항] - Python 개발 가능자 우대 [전형절차] 서류전형 > 임원면접 > 최종합격... 개발 경험 [우대사항] - Python 개발 가능자 우대 [전형절차..."
https://kr.indeed.com/viewjob?jk=aa33fe7923668df4,Back-End 개발자 (거래소),Success Korea 서울 강남구,"설계 및 기본튜닝, DB쿼리 개발 숙련자 - Gp, Java, C++, Python 등 PHP 이외의 개발언어를 능숙하게 다루는 자 - 정보처리기사... 련자 - Gp, Java, C++, Python 등 PHP 이외의 개발언어..."
https://kr.indeed.com/viewjob?jk=1a8ac51bcd79040f,[IT R&D] 머신러닝 개발 부문 (주임~과장),Success Korea 서울 을지로동,"러닝/딥러닝 소프트웨어에 대한 지식 * Java, C/C++, Python, LISP 등 프로그래밍 언어 전문 지식 및 개발 능력 보유 (머신... 지식 * Java, C/C++, Python, LISP 등 프로그래밍..."
https://kr.indeed.com/viewjob?jk=fe69337a085bae5b,Linux 서버 개발자,Success Korea 성남 판교역,"격요건] - 경력 5~6년 이상(선임/과장급) - C/C++, Python 개발 가능 - Web서버, DB 운용 경험 [우대요건] - SELinux... 선임/과장급) - C/C++, Python 개발 가능 - Web서버, DB..."
https://kr.indeed.com/viewjob?jk=6ef66bd841739a4b,[IT R&D] 머신러닝 개발 부문 (과장),Success Korea 서울 을지로동,"머신러닝/딥러닝 소프트웨어에 대한 지식 * Java, C/C++, Python, LISP 등 프로그래밍 언어 전문 지식 및 개발 능력 보유 (머신러... 대한 지식 * Java, C/C++, Python, LISP 등 프로그래밍..."
https://kr.indeed.com/viewjob?jk=5cb8a4c1c466629c,Linux C / Python 서버개발자,이지스케이 서울 강남구,호 인근지하철 직무내용 담당업무 ㆍLinux C 서버 개발 ㆍLinux 시스템 프로그래밍 개발 ㆍ인공지능 Python 개발 경력조건 경력 필요경력 1년 0개월 자격면허 병역 병역 특례 무관 외국어 능력 컴퓨터 활용 채용가...
https://kr.indeed.com/viewjob?jk=43bf0c7e2b10e9b5,Operations Manager (운영팀장) - 한국,Beam 서울,"Knowledge of SQL, Python, R, GIS... 무엇이든 할 수 있다""는 태도 • 관련업계 경력자 우대 • SQL, Python, R, GIS 숙련자 우대 • 영어/한국어 능통자, 우수한 영어 말하..."
